index,req,ts,engine,cmdtr,tr,rsp,send,recv,rts,rengine,rtr,accep,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9,rtt10,rtt11,rtt
5382,912699463,912699465,912699472,912699476,912699483,912699501,912699486,912761274,912761274,912761277,912761280,912761285,2,7,4,11,18,3,61788,0,3,3,5,61822
5386,912699812,912699821,912699840,912699847,912699861,912699863,912699858,912761369,912761369,912761372,912761377,912761381,9,19,7,21,2,-3,61511,0,3,5,4,61569
5387,912700224,912700229,912700232,912700241,912700252,912700253,912700242,912761424,912761424,912761427,912761431,912761436,5,3,9,20,1,-10,61182,0,3,4,5,61212
5389,912700225,912700231,912700262,912700266,912700273,912700292,912700278,912761678,912761678,912761681,912761686,912761690,6,31,4,11,19,5,61400,0,3,5,4,61465
5391,912700459,912700460,912700463,912700472,912700481,912700482,912700473,912761516,912761516,912761519,912761523,912761527,1,3,9,18,1,-8,61043,0,3,4,4,61068
5395,912701201,912701202,912701204,912701212,912701222,912701222,912701212,912761866,912761866,912761869,912761873,912761877,1,2,8,18,0,-10,60654,0,3,4,4,60676
5397,912701387,912701388,912701390,912701396,912701406,912701407,912701397,912761756,912761756,912761759,912761763,912761767,1,2,6,16,1,-9,60359,0,3,4,4,60380
5398,912701484,912701485,912701488,912701495,912701505,912701506,912701497,912761952,912761952,912761955,912761959,912761963,1,3,7,17,1,-8,60455,0,3,4,4,60479
5400,912701892,912701895,912701897,912701905,912701914,912701915,912701906,912762044,912762044,912762047,912762051,912762055,3,2,8,17,1,-8,60138,0,3,4,4,60163
5402,912701892,912701897,912701924,912701929,912701935,912701960,912701945,912762122,912762122,912762125,912762129,912762133,5,27,5,11,25,10,60177,0,3,4,4,60241
5403,912702375,912702379,912702382,912702391,912702401,912702402,912702392,912762203,912762203,912762206,912762210,912762214,4,3,9,19,1,-9,59811,0,3,4,4,59839
5404,912702375,912702380,912702403,912702408,912702414,912702435,912702422,912762284,912762284,912762287,912762291,912762295,5,23,5,11,21,8,59862,0,3,4,4,59920
5406,912702580,912702581,912702584,912702592,912702602,912702603,912702594,912762457,912762457,912762460,912762464,912762468,1,3,8,18,1,-8,59863,0,3,4,4,59888
5407,912702580,912702583,912702604,912702608,912702615,912702635,912702622,912762545,912762545,912762548,912762552,912762556,3,21,4,11,20,7,59923,0,3,4,4,59976
5408,912702645,912702646,912702650,912702658,912702667,912702668,912702659,912762627,912762627,912762630,912762634,912762638,1,4,8,17,1,-8,59968,0,3,4,4,59993
5409,912702848,912702849,912702852,912702861,912702871,912702871,912702862,912762367,912762367,912762370,912762374,912762378,1,3,9,19,0,-9,59505,0,3,4,4,59530
5411,912703124,912703125,912703128,912703136,912703146,912703147,912703137,912762714,912762714,912762717,912762721,912762725,1,3,8,18,1,-9,59577,0,3,4,4,59601
5414,912703435,912703440,912703469,912703475,912703483,912703502,912703485,912762975,912762975,912762978,912762982,912762989,5,29,6,14,19,2,59490,0,3,4,7,59554
5415,912703803,912703804,912703807,912703815,912703825,912703826,912703816,912763063,912763063,912763066,912763070,912763075,1,3,8,18,1,-9,59247,0,3,4,5,59272
5417,912704116,912704117,912704120,912704129,912704139,912704140,912704130,912762800,912762800,912762803,912762807,912762811,1,3,9,19,1,-9,58670,0,3,4,4,58695
5418,912704116,912704119,912704141,912704145,912704151,912704173,912704160,912762892,912762892,912762895,912762899,912762903,3,22,4,10,22,9,58732,0,3,4,4,58787
5420,912704232,912704234,912704246,912704250,912704260,912704274,912704259,912763147,912763147,912763150,912763154,912763158,2,12,4,14,14,-1,58888,0,3,4,4,58926
5635,922711858,922711860,922711872,922711882,922711891,922711906,922711891,922779643,922779643,922779646,922779651,922779655,2,12,10,19,15,0,67752,0,3,5,4,67797
5636,922711858,922711861,922711892,922711899,922711904,922711928,922711912,922779206,922779206,922779209,922779214,922779219,3,31,7,12,24,8,67294,0,3,5,5,67361
5638,922712361,922712364,922712387,922712392,922712398,922712421,922712407,922779328,922779328,922779331,922779336,922779340,3,23,5,11,23,9,66921,0,3,5,4,66979
5640,922712534,922712537,922712555,922712562,922712567,922712587,922712573,922779436,922779436,922779438,922779442,922779447,3,18,7,12,20,6,66863,0,2,4,5,66913
5641,922712709,922712711,922712714,922712721,922712728,922712729,922712722,922779546,922779546,922779549,922779554,922779558,2,3,7,14,1,-6,66824,0,3,5,4,66849
5718,922721422,922721432,922721435,922721442,922721454,922721456,922721443,922780597,922780597,922780599,922780604,922780608,10,3,7,19,2,-11,59154,0,2,5,4,59186
5721,922721427,922721434,922721480,922721485,922721493,922721516,922721499,922780288,922780288,922780291,922780296,922780300,7,46,5,13,23,6,58789,0,3,5,4,58873
5724,922721430,922721435,922721506,922721510,922721517,922721541,922721525,922780074,922780074,922780077,922780081,922780086,5,71,4,11,24,8,58549,0,3,4,5,58656
5725,922721430,922721435,922721518,922721522,922721529,922721541,922721526,922780175,922780175,922780178,922780182,922780187,5,83,4,11,12,-3,58649,0,3,4,5,58757
5729,922721696,922721699,922721716,922721722,922721732,922721752,922721724,922780485,922780485,922780488,922780492,922780496,3,17,6,16,20,-8,58761,0,3,4,4,58800
5732,922722377,922722381,922722409,922722416,922722423,922722444,922722427,922780700,922780700,922780703,922780707,922780711,4,28,7,14,21,4,58273,0,3,4,4,58334
5734,922722377,922722381,922722431,922722435,922722444,922722467,922722454,922780396,922780396,922780399,922780403,922780407,4,50,4,13,23,10,57942,0,3,4,4,58030
5926,932726210,932726211,932726214,932726227,932726237,932726238,932726228,932763272,932763272,932763275,932763279,932763284,1,3,13,23,1,-9,37044,0,3,4,5,37074
5927,932726362,932726363,932726366,932726375,932726383,932726384,932726376,932762486,932762486,932762489,932762493,932762498,1,3,9,17,1,-7,36110,0,3,4,5,36136
5928,932726643,932726644,932726646,932726654,932726663,932726664,932726655,932762571,932762571,932762573,932762578,932762582,1,2,8,17,1,-8,35916,0,2,5,4,35939
5930,932727013,932727017,932727039,932727046,932727051,932727074,932727059,932762660,932762660,932762663,932762666,932762670,4,22,7,12,23,8,35601,0,3,3,4,35657
5931,932727014,932727017,932727052,932727056,932727061,932727074,932727059,932763009,932763009,932763013,932763017,932763022,3,35,4,9,13,-2,35950,0,4,4,5,36008
5934,932727332,932727334,932727348,932727354,932727359,932727380,932727366,932763101,932763101,932763104,932763108,932763113,2,14,6,11,21,7,35735,0,3,4,5,35781
5935,932727401,932727402,932727405,932727413,932727421,932727421,932727414,932762735,932762735,932762738,932762741,932762746,1,3,8,16,0,-7,35321,0,3,3,5,35345
5936,932727623,932727624,932727627,932727634,932727641,932727642,932727635,932794322,932794322,932794325,932794330,932794335,1,3,7,14,1,-6,66687,0,3,5,5,66712
5937,932727709,932727710,932727713,932727721,932727728,932727729,932727722,932794109,932794109,932794112,932794117,932794122,1,3,8,15,1,-6,66387,0,3,5,5,66413
